paper,con,vol,dis,feed,OD
1,6,10,14,1.7,175
1,6,10,20,1.7,192
1,6,10,14,2.3,217
1,6,10,20,2.3,213
1,6,15,17,2,194
1,6,20,14,1.7,174
1,6,20,20,1.7,201
1,6,20,14,2.3,218
1,6,20,20,2.3,245
1,8,10,17,2,259
1,8,15,17,1.7,313
1,8,15,14,2,296
1,8,15,17,2,295
1,8,15,17,2,273
1,8,15,20,2,294
1,8,15,17,2.3,303
1,8,20,17,2,272
1,10,10,14,1.7,330
1,10,10,20,1.7,365
1,10,10,14,2.3,378
1,10,10,20,2.3,414
1,10,15,17,2,414
1,10,20,14,1.7,298
1,10,20,20,1.7,359
1,10,20,14,2.3,347
2,25,26,18,1,230.7
2,25,26,13,0.5,288.7
2,25,26,8,1.2,222.4
2,25,26,8,0.6,257.8
2,25,21,8,0.5,209.3
2,25,18.8,15,1,178.7
2,25,18.8,15,0.6,187.2
2,25,18.8,15,0.2,282.2
2,25,18.8,10,0.6,328.1
2,25,16,8,1,186.3
2,24,22.5,14,0.6,121
2,24,18.8,10,0.5,182.1
2,22,26,18,1.5,151.8
2,22,15,18,1.5,144.4
2,21,26,8,1.5,105
2,20.5,25,13,1,93.1
2,20.5,21,13,1.4,90.6
2,20.5,21,13,0.3,112
2,20.5,18,13,1,113.7
2,20.5,21,6,0.9,115
2,20.5,11,13,0.8,108.6
2,20,22.5,20,1,186
2,20,22.5,20,0.2,164.8
2,20,22.5,10,1,142.1
2,20,22.5,10,0.8,113.7
2,20,20,20,0.8,112.6
2,20,20,18,0.8,112.6
2,20,20,16,0.8,125.5
2,20,18.8,15,0.6,143.8
2,20,17.5,18,0.2,118
2,20,15,10,1,134.4
2,20,15,10,0.2,159.8
2,19,16,8,0.5,131.6
2,16,26,18,0.9,99.7
2,16,26,8,0.6,78.7
2,16,16,18,0.6,114.3
2,16,16,12,0.5,108.5
2,16,16,8,1.4,114.5
2,25,22.5,15,0.6,266.7
2,25,16,11,1.5,177.3
2,18,16,8,1.5,118.2
2,16,16,11,1.5,95
3,9,12,12,0.25,235
3,11,16,10,0.25,412
3,11,14,12,0.25,374
3,11,14,12,0.25,389
3,11,14,12,0.25,362
3,9,16,12,0.25,201
3,11,12,14,0.25,359
3,9,14,14,0.25,214
3,9,14,10,0.25,219
3,13,12,12,0.25,457
3,13,14,14,0.25,516
3,13,16,12,0.25,534
3,11,12,10,0.25,365
3,11,16,14,0.25,429
3,11,14,12,0.25,381
3,13,14,10,0.25,502
3,11,14,12,0.25,386
4,20,22,9,0.6,165
4,30,18,9,0.6,301
4,20,18,15,0.6,134
4,30,22,15,0.6,313
4,20,18,9,0.6,195
4,30,22,9,0.6,361
4,20,22,15,0.6,213
4,30,18,15,0.6,346
4,20,18,9,1.2,240
4,30,22,9,1.2,409
4,20,22,15,1.2,259
4,30,18,15,1.2,383
4,20,22,9,1.2,316
4,30,18,9,1.2,424
4,20,18,15,1.2,274
4,30,22,15,1.2,451
4,25,20,12,0.9,304
4,25,20,12,0.9,301
4,15,20,12,0.9,109
4,35,20,12,0.9,412
4,25,20,6,0.9,254
4,25,20,18,0.9,247
4,25,20,12,0.9,523
4,25,20,12,0.9,434
4,25,20,12,0.3,161
4,25,20,12,1.5,354
4,25,16,12,0.9,258
4,25,24,12,0.9,423
4,25,20,12,0.9,300
4,25,20,12,0.9,296
4,17.69,18,12,0.45,109
4,19.81,20,12,0.75,198
4,24.89,20,12,0.9,299
4,32.04,22,12,0.75,379
4,32.05,18,12,1.5,472
4,18.71,18,12,1.5,291
4,24.89,18,12,0.9,299
4,15.93,18,12,1.5,311
,35,26,20,2.3,
