con,vol,dis,feed,OD
20,22,9,0.6,165
30,18,9,0.6,301
20,18,15,0.6,134
30,22,15,0.6,313
20,18,9,0.6,195
30,22,9,0.6,361
20,22,15,0.6,213
30,18,15,0.6,346
20,18,9,1.2,240
30,22,9,1.2,409
20,22,15,1.2,259
30,18,15,1.2,383
20,22,9,1.2,316
30,18,9,1.2,424
20,18,15,1.2,274
30,22,15,1.2,451
25,20,12,0.9,304
25,20,12,0.9,301
15,20,12,0.9,109
35,20,12,0.9,412
25,20,6,0.9,254
25,20,18,0.9,247
25,20,12,0.9,523
25,20,12,0.9,434
25,20,12,0.3,161
25,20,12,1.5,354
25,16,12,0.9,258
25,24,12,0.9,423
25,20,12,0.9,300
25,20,12,0.9,296
17.69,18,12,0.45,109
19.81,20,12,0.75,198
24.89,20,12,0.9,299
32.04,22,12,0.75,379
32.05,18,12,1.5,472
18.71,18,12,1.5,291
24.89,18,12,0.9,299
15.93,18,12,1.5,311
