,neuron,mae,mse,rmse,P_error
6,relu_5_4_4,0.03742485125859505,0.002253388021152083,0.047469864347310736,3.7103192959840996
35,tanh_5_5_6,0.04357979933420888,0.002907623555548245,0.05392238454990882,4.199007477047596
34,tanh_5_5_5,0.10565594991048106,0.020165822250460073,0.14200641622990165,11.28592523238634
25,tanh_4_4_5,0.1054657753308607,0.023057797006638923,0.15184794040960492,12.139001900432294
5,relu_4_5_6,0.1246264632542921,0.028045388560219146,0.16746757465318218,13.268114636235572
2,relu_4_4_6,0.12916764338811165,0.027790778372422765,0.16670566388825175,13.635101909217848
7,relu_5_4_5,0.13007627089818247,0.025744901356776418,0.16045217778757762,14.751976812105514
24,tanh_4_4_4,0.15729918797810802,0.04916850339034536,0.22173971992032768,17.156804123484868
10,relu_5_5_5,0.20018247683842905,0.05550025061747874,0.23558491169317008,17.958420986340464
8,relu_5_4_6,0.19025208075841193,0.043002969224027965,0.20737157284456317,18.772468989816858
29,tanh_4_5_6,0.193515864213307,0.06009739271959104,0.24514769572564013,19.248026660075418
30,tanh_5_4_4,0.18372278769810924,0.06092163852314224,0.2468230915517068,19.285145939414228
31,tanh_5_4_5,0.18160176595052008,0.05689995022113509,0.23853710449557966,21.241957447993826
4,relu_4_5_5,0.23565472920735608,0.06959569929309532,0.26380996814581387,22.281770363070088
33,tanh_5_5_4,0.214632385571797,0.06416726452335549,0.25331258263922757,22.67273005585347
26,tanh_4_4_6,0.22307328542073498,0.08777381565462727,0.29626646056316813,23.16540100929941
1,relu_4_4_5,0.25359415372212657,0.0840903378269128,0.28998334060237463,23.39238920522643
28,tanh_4_5_5,0.21453558762868177,0.07561861597408816,0.2749883924351865,24.613593267556112
27,tanh_4_5_4,0.2329178031285597,0.0694449012686003,0.2635240051088331,24.931539463307764
13,sigmoid_4_4_5,0.2436149056752516,0.07892954317266569,0.2809440214218229,26.109104056974395
22,sigmoid_5_5_5,0.24743339379628432,0.0803111529450622,0.2833922245670516,26.149494693483682
20,sigmoid_5_4_6,0.31379806359608897,0.11984422116673561,0.34618524111627813,26.70215859662552
32,tanh_5_4_6,0.2428188594182325,0.08603443524465003,0.2933162717011282,26.93700014041251
23,sigmoid_5_5_6,0.2619473155339552,0.08740738072748185,0.29564739255992406,27.513852228815512
16,sigmoid_4_5_5,0.28775495847066174,0.09152728232376965,0.30253476217415026,27.670985759022063
17,sigmoid_4_5_6,0.2660042460759474,0.09025494641066202,0.3004246101947409,28.024930982563852
12,sigmoid_4_4_4,0.2667803700764967,0.09018128874384305,0.30030199590386186,28.063533965544128
14,sigmoid_4_4_6,0.27134451230366957,0.08995183076067965,0.2999197071895737,28.096257592903072
15,sigmoid_4_5_4,0.27413005193074474,0.09051337029911745,0.30085440049817697,28.152689778791277
18,sigmoid_5_4_4,0.26640745957692397,0.09079280226497355,0.30131843996837226,28.165448458162228
19,sigmoid_5_4_5,0.2687855656941725,0.09261282402739039,0.3043235515489894,28.361923301203444
21,sigmoid_5_5_4,0.2696063454945875,0.09208655201773765,0.3034576609969464,28.372810596964875
0,relu_4_4_4,0.6829036247730249,0.5561726385059137,0.7457698294419758,57.040334791355804
11,relu_5_5_6,0.7071305048465722,0.5906670083013447,0.7685486375639116,59.345293474397536
9,relu_5_5_4,0.7146191370487207,0.6004957888140355,0.7749166334606811,60.07080359483914
3,relu_4_5_4,0.7506757450103754,0.6533293519246595,0.8082879140038279,63.51607115468107
