,neuron,mae,mse,rmse,Perror
10628,relu_18_19_21,0.059594223160364584,0.005930035513164403,0.0770067238178875,11.783010915335792
9335,relu_16_25_24,0.05900865591766283,0.0062476723402937525,0.07904221872071755,11.296369676357722
9097,relu_16_16_29,0.06966109609514859,0.006422833391930737,0.08014258164004162,15.87415617478771
8593,relu_15_25_11,0.06287954215712264,0.006564492127269389,0.08102155347356275,13.56873604109709
10608,relu_18_18_28,0.06205450470817246,0.006626736444797602,0.08140476917722697,13.499749212835141
10878,relu_18_28_28,0.07086289300634233,0.0067256284247400626,0.08200992881804045,15.428151983594557
11418,relu_19_21_28,0.06645002292324736,0.006799877059073806,0.08246136707012446,13.701837856838164
11363,relu_19_19_27,0.06768499160268511,0.006860730764865121,0.08282952833902364,13.308450065295915
5730,relu_11_27_10,0.06043096570138125,0.006937440067587747,0.08329129646960567,14.66344278124631
7280,relu_13_30_21,0.07217718650083507,0.007087386490738499,0.08418661705246563,16.962873851077052
9394,relu_16_27_29,0.06447641555304169,0.007128253921283672,0.0844289874467512,13.891641393808541
8685,relu_15_28_22,0.06927882853927346,0.00722894725367913,0.08502321596881131,16.285581056079767
11311,relu_19_17_29,0.07228286491156732,0.007327516415571567,0.0856009136374815,15.263850915966568
6473,relu_12_27_24,0.0646116060192654,0.007387719062538368,0.0859518415308152,14.933763293433001
10201,relu_17_30_26,0.06806395309248421,0.0074308869474014275,0.08620259246334433,14.396582857812714
4883,relu_10_22_27,0.0712769189643881,0.0075389458596334825,0.08682710325487936,16.307321104979692
7906,relu_14_26_26,0.06900526543227024,0.007844104292696911,0.08856694808277471,14.18438563225511
3928,relu_9_14_17,0.06468947070838328,0.007940391665633149,0.08910887534714569,16.42862015801994
9127,relu_16_18_5,0.06797655936285568,0.008091763593144077,0.0899542305461176,12.590153281337038
11978,relu_20_15_21,0.06770614158824442,0.008201070132449109,0.09055976000657857,12.137546867665456
10601,relu_18_18_21,0.0744432190325714,0.008209248862812827,0.09060490529112002,17.873250130445168
8448,relu_15_19_28,0.07792227896312913,0.008247013369474015,0.09081306827474785,16.630349102485965
4907,relu_10_23_24,0.07724453204370132,0.008327402901216096,0.09125460482198197,17.154410033961813
8680,relu_15_28_17,0.07375275600056011,0.008352524917572733,0.09139214910249531,15.202817706323918
6268,relu_12_20_8,0.07463041114252056,0.008447882697282692,0.09191236422420376,14.542475941511231
10690,relu_18_21_29,0.07107692857024812,0.008489641525673376,0.09213925073318849,16.939615803040876
6388,relu_12_24_20,0.08025794635545865,0.008497969718028383,0.09218443316541239,16.87808116060116
2586,relu_7_18_25,0.07076352768184696,0.008519194565885931,0.09229948302068615,13.83664128831536
10900,relu_18_29_23,0.06919813481001386,0.008527523015068447,0.09234458844495678,16.624838037272998
9977,relu_17_22_18,0.07720266794545724,0.008608938107932628,0.09278436348831967,18.587156118113914
11512,relu_19_25_14,0.07823074616614525,0.008612645160526655,0.09280433804799566,17.7282236818266
11136,relu_19_11_16,0.07087354769110812,0.008643879978015722,0.09297246892503029,14.0684309691242
9324,relu_16_25_13,0.07370096755033013,0.008658130073982208,0.093049073471917,14.672477776701488
11546,relu_19_26_21,0.07939536649395867,0.008777435645198749,0.09368796958627479,17.58817637350592
3363,relu_8_20_19,0.07895644113189068,0.008780468464904758,0.09370415393623037,16.733329184831817
11576,relu_19_27_24,0.07838066367351064,0.008813804738812943,0.09388186586776459,17.920411251377924
10416,relu_18_11_25,0.08526513448527119,0.008832619418726217,0.09398201646446099,21.678943530137953
9471,relu_16_30_25,0.07589703357785237,0.008917502923835115,0.09443253106760993,17.734936711727777
10097,relu_17_26_30,0.07261983546782871,0.00894985609901939,0.09460367909875066,14.728196951391874
7918,relu_14_27_11,0.071167501587541,0.008991411209185377,0.09482305209802823,14.463467785023326
8392,relu_15_17_26,0.07007728802432564,0.008993488153661633,0.09483400315109361,13.615161095991173
2375,relu_7_10_30,0.08060401443620327,0.0090195414040132,0.09497126620201081,17.54043655959107
10750,relu_18_24_8,0.07845075803800079,0.009077432838851773,0.09527556265303172,16.374582215966193
11629,relu_19_29_23,0.07252693338915728,0.009086966784597276,0.09532558305406412,14.01521291468878
11376,relu_19_20_13,0.08180487753322252,0.009135739784454313,0.0955810639428873,18.050500854868545
6314,relu_12_21_27,0.08047230961635403,0.009136333756729384,0.09558417105739518,17.98684822997734
