,neuron,mae,mse,rmse,Perror
1231,relu_5_22_20,0.08945863736904763,0.011710154480554347,0.10821346718664154,16.615078419212498
1311,relu_5_25_19,0.08733963284710873,0.011912248955656004,0.10914324970265456,15.545911188556163
644,relu_4_27_27,0.08791831685166254,0.011990343374581724,0.109500426367123,15.538679775587532
1610,relu_6_9_21,0.09020368880600171,0.012360541395256964,0.1111779717176787,16.14182137127159
8788,relu_16_5_17,0.09291507974087768,0.012455723454331241,0.11160521248728145,16.759087624519978
3623,relu_8_30_9,0.09706659078502428,0.012545109392234927,0.11200495253440772,17.25537933654669
1013,relu_5_14_18,0.0922208490627054,0.012554031348911969,0.11204477385809643,17.41172175695978
1153,relu_5_19_23,0.09663534124596686,0.012557392842176666,0.11205977352367202,16.57245874880384
1761,relu_6_15_10,0.0972320499675516,0.012560736710896785,0.11207469255321108,16.812196582349728
3112,relu_8_11_11,0.09395287063291109,0.01262941010409805,0.1123806482633823,16.386523525312363
1342,relu_5_26_23,0.08225873735120333,0.012918267847132785,0.11365855817813626,14.281686541764888
1025,relu_5_14_30,0.10058381782542107,0.012987125813101179,0.11396107148101574,16.650034399177947
2930,relu_8_4_18,0.09485703218135144,0.012988843414269174,0.11396860714367432,17.152995646321145
322,relu_4_15_29,0.09491787858955965,0.01302133739773806,0.11411107482509338,15.473426943485569
483,relu_4_21_28,0.09858270842559752,0.013178518164447912,0.11479772717457394,17.34044398911977
238,relu_4_12_26,0.10171333246665303,0.013401544950113623,0.11576504200367926,18.43018298298519
2073,relu_6_26_25,0.0980788950273021,0.013478220676047871,0.11609573926741615,17.818274424496632
390,relu_4_18_16,0.09413421796911123,0.013541611712773698,0.11636843091136745,17.499196054981553
4852,relu_10_21_23,0.10034394555526081,0.013568737569422088,0.11648492421520515,18.499405401575643
4334,relu_9_29_18,0.08975361626829942,0.013680771704108276,0.11696483105663974,16.526765927360714
972,relu_5_13_4,0.10032088914243001,0.01373410732021993,0.11719260778828983,18.982136994766773
4742,relu_10_17_21,0.10438234118772453,0.013744550447695228,0.11723715472364223,18.474764629528096
5384,relu_11_14_15,0.09568910042752908,0.013772279267439456,0.11735535466027724,17.801231176276392
476,relu_4_21_21,0.10052662737323009,0.013827104631810774,0.11758870962728851,17.695426979789325
4229,relu_9_25_21,0.09048519750165304,0.013853247985300268,0.11769982151770778,15.50554217204012
4101,relu_9_20_28,0.09402622621741136,0.013860851272320944,0.1177321165711419,16.7616556361215
2080,relu_6_27_5,0.09854824251906825,0.013878452319105576,0.11780684326093105,17.156001641628375
3287,relu_8_17_24,0.09899425387361264,0.013927860417417885,0.11801635656729065,17.897252394195338
230,relu_4_12_18,0.10982536236349513,0.013956144072333384,0.11813612517910592,18.6819117334653
694,relu_4_29_23,0.09050371540821694,0.01397885658045342,0.11823221464750383,17.804727243242397
507,relu_4_22_25,0.07685180036957692,0.01401401751436157,0.11838081565169911,13.31755043048329
7488,relu_14_11_13,0.1061821067480866,0.014076119955340145,0.11864282513215936,19.88579244088405
3386,relu_8_21_15,0.10635592169136243,0.014094341631222022,0.11871959244885413,18.646825585843793
13034,relu_21_27_24,0.09808373007238601,0.014142416633388142,0.11892189299446987,17.657225230866665
6597,relu_13_5_13,0.09456253011925787,0.01414308702395007,0.11892471157816642,17.719489976641768
3427,relu_8_22_29,0.09884594195902179,0.014172047651289658,0.11904640965308302,15.727480425564885
285,relu_4_14_19,0.10341180934419952,0.014198234314451238,0.11915634399582441,18.484588626593766
3325,relu_8_19_8,0.09533930063555723,0.0142146099971167,0.11922503930432021,17.474543689859892
2942,relu_8_4_30,0.10343799286322895,0.01425934244128411,0.11941248863198568,17.37220393171695
987,relu_5_13_19,0.10076802929146857,0.014260355790132647,0.11941673161719277,17.252762935962934
354,relu_4_17_7,0.10337436179803308,0.01427318569707907,0.119470438590804,17.568304883082977
2494,relu_7_15_14,0.09806083481993516,0.014297904099484345,0.11957384370958535,15.864401434327627
2812,relu_7_27_8,0.0929704032314555,0.014315043043957957,0.1196454890246931,16.522060286522223
3277,relu_8_17_14,0.10419337928778426,0.014348767720048129,0.11978634195954115,17.60368243894852
10919,relu_18_30_15,0.0970697623464203,0.014373856282281359,0.1198910183553437,16.373614439624415
7379,relu_14_7_12,0.096689709644208,0.014387925405031976,0.11994967863663486,17.221709896759553
2045,relu_6_25_24,0.098181840252411,0.01442194317932257,0.12009139510940228,18.25362296393616
5621,relu_11_23_9,0.10343980983299313,0.014490744779855156,0.12037750944364631,18.64617576116229
7205,relu_13_27_27,0.09782555659516425,0.014495825108386977,0.12039860924606637,17.744189162735886
847,relu_5_8_14,0.08693162111593193,0.014630459426213962,0.12095643606775938,16.24432410959619
809,relu_5_6_30,0.11199613372389249,0.014652080022193382,0.1210457765566126,19.134440402704822
5665,relu_11_24_26,0.0988006627433262,0.01465855407150131,0.12107251575605965,17.029814782749465
3317,relu_8_18_27,0.11055442009190548,0.014712254529287585,0.12129408282883211,18.930185679681117
4467,relu_10_7_16,0.10481095605330769,0.014717361292845085,0.12131513216761165,17.621000789136982
3068,relu_8_9_21,0.09984183550189024,0.014717636237075853,0.12131626534424744,16.90622685998856
6075,relu_12_13_4,0.09818351111299037,0.014718317040435469,0.12131907121485669,18.20861132458236
1066,relu_5_16_17,0.10158316585657104,0.014718552410946347,0.12132004125842666,16.695078008670034
3505,relu_8_25_26,0.10054316341606141,0.014723853368371525,0.12134188628981966,18.06982502020384
602,relu_4_26_12,0.09212383866618162,0.014737900052812046,0.12139975310029277,16.71240839034296
1779,relu_6_15_28,0.10188037137673792,0.01475036269554034,0.1214510711996413,19.539294572898108
6124,relu_12_14_26,0.09469475256380194,0.01476605564203904,0.12151566006914105,18.053605903733324
1541,relu_6_7_6,0.09642857220745835,0.014771010200953751,0.12153604486305185,17.68045550461773
2789,relu_7_26_12,0.09721131748527723,0.014774243103396851,0.12154934431496063,17.3038202820489
4042,relu_9_18_23,0.09916366313715351,0.014786594310869114,0.12160014108079445,16.65014268221744
6263,relu_12_19_30,0.10377261216262551,0.014837117971479193,0.12180770899856541,18.024104162897977
4790,relu_10_19_15,0.09702787970323933,0.014854838583443244,0.1218804274009705,17.573213296988303
7946,relu_14_28_12,0.09989449673133198,0.01487669164176986,0.12197004403446716,19.004042957842298
4344,relu_9_29_28,0.0930004519760041,0.014894041219652519,0.1220411456011968,17.214980877589078
2395,relu_7_11_23,0.10346283754021016,0.014895457821081898,0.12204694924938475,18.47507224412476
2756,relu_7_25_6,0.10741903623253193,0.014897768601838815,0.12205641565210251,19.65528586741236
12824,relu_21_19_30,0.10068161462564838,0.014899361464416961,0.12206294058565426,17.248497037218968
3687,relu_9_5_19,0.10016816483507988,0.014915514084890212,0.12212908779193518,16.693772006846366
3598,relu_8_29_11,0.09728190852265253,0.014926180129738682,0.12217274708272169,17.426902672686364
2968,relu_8_5_29,0.1025790457078441,0.014936830226935208,0.12221632553360132,17.63068284038122
1050,relu_5_15_28,0.1008661874797079,0.01497007728490844,0.12235226718336052,17.642734531242027
1726,relu_6_13_29,0.09754593840716506,0.014982668221905653,0.12240371000057822,17.56002653950984
3114,relu_8_11_13,0.10428370681557221,0.015002064306735627,0.12248291434618801,18.75088597467251
860,relu_5_8_27,0.09390461352444443,0.015014215880120283,0.12253250948266865,17.221258319121556
5684,relu_11_25_18,0.09962393727296619,0.015015566180348118,0.1225380193260366,17.176369722094247
3484,relu_8_25_5,0.10398146683791848,0.015027253851475889,0.1225857000284939,17.886473305007847
12072,relu_20_19_7,0.09853493392196656,0.015068743261314962,0.1227548095241688,17.65322327230578
2678,relu_7_22_9,0.10316054979864528,0.015069573884076247,0.12275819273708882,20.017475050077632
1655,relu_6_11_12,0.10346517920398485,0.01507299140594684,0.12277211167829133,17.09326951963843
1798,relu_6_16_20,0.09920588043309006,0.015075382081526652,0.12278184752448813,17.539270223456754
7653,relu_14_17_16,0.09178142257683382,0.015091652953683877,0.1228480889297179,15.65775857809633
287,relu_4_14_21,0.10220766710393789,0.01511414563970315,0.12293960159242079,17.071670459962707
9437,relu_16_29_18,0.10300802409378053,0.015121860202036078,0.12297097300597437,17.860274634061334
2217,relu_7_5_7,0.10213570349740979,0.015129756970469048,0.12300307707723838,17.90783644315131
1599,relu_6_9_10,0.09855466710101006,0.015152575475879745,0.12309579796191154,17.08099087584985
792,relu_5_6_13,0.10653267847145878,0.015163823556984658,0.1231414778090009,18.563524143072385
252,relu_4_13_13,0.10042953729937559,0.01517578065696402,0.12319001849567204,17.05954384623529
3074,relu_8_9_27,0.1043102704144561,0.015185132101124559,0.12322796801507586,19.20462045719486
1840,relu_6_18_8,0.10051136409642596,0.015197109150318503,0.1232765555582995,17.992735271495324
9129,relu_16_18_7,0.10250421701018902,0.01520627719002782,0.12331373479879612,17.1017448752955
3060,relu_8_9_13,0.10488248441262464,0.015228472908819663,0.12340369892681363,18.965201414907458
9648,relu_17_10_13,0.09321211969258685,0.015231466800667429,0.12341582880922296,15.652802296992908
3774,relu_9_8_25,0.10279092035180568,0.015237641287715807,0.12344084124679242,17.991051369036843
1959,relu_6_22_19,0.10620541878693208,0.01524279549216278,0.1234617167066892,18.237457436460105
9847,relu_17_17_23,0.1049341614351739,0.015259948438883317,0.1235311638368364,18.365775458828512
582,relu_4_25_19,0.09339304645834978,0.015274832236825195,0.1235913922440604,16.959189054767034
3265,relu_8_16_29,0.11273588697019986,0.015275860645932195,0.12359555269479641,20.860291131517368
9302,relu_16_24_18,0.10375437431769673,0.015280190414141907,0.12361306732761673,17.516066001777332
7810,relu_14_23_11,0.10158814873689441,0.01528236624505264,0.12362186798884993,17.524885511925316
1105,relu_5_17_29,0.11067616820314145,0.015288090044117167,0.1236450162526463,18.818161308598064
9456,relu_16_30_10,0.10644496440791856,0.01529038971658773,0.12365431539816041,19.036088271867193
818,relu_5_7_12,0.10264234039422973,0.015296818776703112,0.12368030876701074,17.657759807282755
2920,relu_8_4_8,0.10197238963332017,0.015297429044901837,0.12368277586188724,18.814426156614147
2595,relu_7_19_7,0.10045867145544783,0.015299682610594476,0.12369188579124532,17.265191771810912
1430,relu_5_29_30,0.10006092283365234,0.015327102758186637,0.1238026767004116,17.698117170676678
2683,relu_7_22_14,0.09973009932193067,0.015351101261004255,0.12389956118164526,19.346193807600862
