,neuron,mae,mse,rmse,Perror
5974,relu_12_9_11,0.05561442435651545,0.005312450881636179,0.07288656173559141,8.94619175512087
13019,relu_21_27_9,0.07024875373224085,0.00585501554307808,0.07651807331002317,12.233428015335889
12521,relu_21_8_24,0.0583171014300575,0.006079918845644034,0.0779738343654077,8.46002913326628
8015,relu_14_30_27,0.06096335590461552,0.006140953211717173,0.07836423426357954,8.985147795009246
2855,relu_7_28_24,0.06160797968794704,0.006197015202955746,0.07872112297824356,10.032423627693989
12525,relu_21_8_28,0.06784893662313288,0.006198768949373947,0.07873226117274892,10.615949298468031
4928,relu_10_24_18,0.06378369868377506,0.0062055209400594955,0.07877512894346474,8.536313985809393
1780,relu_6_15_29,0.06541668758660082,0.00622917296610745,0.07892510985806386,9.459798736566087
3001,relu_8_7_8,0.06389552817324459,0.006252105311837428,0.07907025554427802,8.993758080169169
11560,relu_19_27_8,0.06068355447932089,0.006405104009605936,0.08003189370248548,8.864705502324004
7276,relu_13_30_17,0.06443273366073429,0.006439258386482383,0.08024498979053074,9.554392210075736
5002,relu_10_27_11,0.0652454392669565,0.0065217703913195,0.08075747885688049,9.525250400241402
11222,relu_19_14_21,0.06559927106479471,0.0065611435198685494,0.08100088592026972,10.602244501432967
12456,relu_21_6_13,0.06258450165966808,0.006580756901638077,0.08112186451036538,9.05160479668079
1233,relu_5_22_22,0.06254339308122461,0.006586269191964391,0.08115583276613204,8.152637417964675
11525,relu_19_25_27,0.06621258972203639,0.0065977613473976494,0.08122660492349566,9.86600534407577
11186,relu_19_13_12,0.06430619344979052,0.006605584794686875,0.08127474881343451,8.68810689914448
7781,relu_14_22_9,0.06276818631207845,0.006632823987856471,0.08144215117404789,10.689260070210402
7059,relu_13_22_16,0.06390317619422739,0.006651964287846049,0.08155957508377572,10.116465377668003
10983,relu_19_5_25,0.06849893690019374,0.006711609853147862,0.0819244154885945,11.172062214792152
521,relu_4_23_12,0.05903881274451614,0.006728242769132786,0.0820258664637734,8.165434851293307
2125,relu_6_28_23,0.0682988678721553,0.006785239757124901,0.08237256677514002,10.975743365357973
10264,relu_18_6_8,0.06884976919146527,0.006796571901872137,0.08244132399392999,10.133510664021617
1817,relu_6_17_12,0.06309525386074846,0.006802942073200719,0.08247994952229735,9.703011957815006
9806,relu_17_16_9,0.06176089257865672,0.006819804292221268,0.08258210636827609,7.641834821629489
2620,relu_7_20_5,0.06898922935704058,0.006826070325045119,0.08262003585720064,10.55344485360547
1345,relu_5_26_26,0.06319254399209742,0.0068510088079019715,0.08277082099328224,9.342611934649435
