,neuron,mae,mse,rmse,Perror
840,relu_5_8_7,0.02049868583679253,0.0005788192857460017,0.02405866342393113,1.8131827465169301
6521,relu_12_29_18,0.01939002593358292,0.0006046886347458058,0.024590417539070087,1.9534181661484897
1263,relu_5_23_25,0.02376993338267075,0.0007709870473543284,0.02776665351378031,2.323110673861393
9263,relu_16_23_6,0.02663960695266778,0.0008512559158180029,0.029176290302538512,2.7845098407217974
13411,relu_22_14_23,0.02547872543335019,0.0008623236933128556,0.02936534851338999,2.6611476946992574
4728,relu_10_17_7,0.025035646756489414,0.0009122602441678504,0.030203646206507093,2.7582721660508893
9089,relu_16_16_21,0.027044322490692684,0.0009245119460854243,0.030405788035922112,2.423866544476811
7357,relu_14_6_17,0.029828350543976367,0.0010130509293979106,0.03182846099637729,2.962900625530101
3058,relu_8_9_11,0.029751529693604062,0.001062878110143475,0.032601811454940274,2.8344544731496684
1469,relu_6_4_15,0.030991739432017672,0.0011751040098164265,0.034279790107531675,3.167573095394496
4642,relu_10_13_29,0.0323081064224249,0.0011907715257843353,0.03450755751693149,3.326669986867549
5202,relu_11_7_22,0.030946617126465382,0.0012147320058804863,0.03485300569363403,2.608006985584866
6120,relu_12_14_22,0.03387713670730645,0.0012568584777185863,0.035452199899563164,3.448311973268537
3590,relu_8_28_30,0.029234805107117245,0.0012571421740523617,0.03545620078424029,3.322738765662275
14126,relu_23_14_9,0.0255144858360296,0.0012857907185701814,0.03585792406944637,2.0904514289428575
780,relu_5_5_28,0.03332292079925592,0.0013553872767272247,0.03681558469897259,3.0685008226919437
4600,relu_10_12_14,0.03442376931508313,0.0013974272946485713,0.03738217883763025,3.4320649086809354
581,relu_4_25_18,0.034771498839061166,0.0014035516027771401,0.037464004094292166,3.232844654839783
6288,relu_12_20_28,0.036368850072224235,0.001440734803319385,0.037957012571057075,3.491614365227268
3450,relu_8_23_25,0.03105471611023003,0.0014453114947345573,0.038017252593191914,2.682685048167655
3489,relu_8_25_10,0.03240123033523614,0.0014783909187042353,0.03844984939767951,3.3238599404847298
1788,relu_6_16_10,0.03313828150431382,0.0015837606140482901,0.039796489971457155,2.867752752731174
11112,relu_19_10_19,0.027681401570637365,0.00160179478898612,0.04002242857431468,3.2376204601085314
4775,relu_10_18_27,0.031532320181529384,0.0016481519875145554,0.0405974381890601,2.6492459485875526
9714,relu_17_12_25,0.033925094604492737,0.0016782058313823032,0.04096591060116085,3.3459159945868158
578,relu_4_25_15,0.030872015953064547,0.0017078779988535992,0.04132648060086413,3.2781068371161517
10838,relu_18_27_15,0.03150340557098443,0.001776421467192171,0.04214761520171896,2.7576097153670216
6262,relu_12_19_29,0.036431742509205445,0.0017860004660477616,0.04226109873214091,3.499797897038003
6463,relu_12_27_14,0.034472874005634924,0.0018177143681121215,0.04263466158083258,3.750573241748674
5059,relu_10_29_14,0.03383395989735856,0.0018251766409280643,0.04272208610225002,3.22114285081992
208,relu_4_11_23,0.03473056872685685,0.0018617070864136095,0.04314750382598754,3.9781933931790823
12762,relu_21_17_22,0.036591199239094395,0.0018749907343950632,0.043301163199099664,3.0309037920089663
12410,relu_21_4_21,0.031991875966389284,0.0018952004136767362,0.043533899591889726,3.022032889106053
1043,relu_5_15_21,0.029784598350525448,0.0019305458076373746,0.043937976826856455,2.5533289267624815
3398,relu_8_21_27,0.03702562173207535,0.0019537566947435536,0.04420132005657244,3.9874032545370026
3849,relu_9_11_19,0.035052564144135066,0.001973300694991167,0.044421849297290254,3.0947263181876563
