,neuron,mae,mse,rmse,Perror
698,relu_4_29_27,0.06503949470298244,0.0057626179421993405,0.07591190909336519,12.500822306357547
19246,relu_30_14_26,0.07704490641747577,0.008792795420281087,0.09376990679466994,13.129418087180024
4379,relu_10_4_9,0.08107370376894957,0.009002882315600693,0.09488351972603405,15.781871579828561
500,relu_4_22_18,0.08264969342279431,0.009275468856947924,0.0963092355745176,14.933834468905097
11198,relu_19_13_24,0.07887758056630777,0.009307086981890486,0.09647324490184046,13.55507377996898
6704,relu_13_9_12,0.08833591713153739,0.009489435982955657,0.09741373611024093,15.40356803774333
12382,relu_20_30_20,0.08754166206032124,0.009706493081334115,0.09852153612959004,15.60208342492728
5450,relu_11_16_27,0.08416363953280069,0.009863305665776348,0.09931417655992697,14.740898080448732
1204,relu_5_21_20,0.08981554945618,0.009865830988601705,0.09932688955465033,16.087021770499884
8387,relu_15_17_21,0.08486598637676987,0.009945362175235735,0.0997264366917606,16.01175071484582
6095,relu_12_13_24,0.07807702513596367,0.009984691308432915,0.09992342722521538,14.051903954943144
11041,relu_19_7_29,0.08185927974161261,0.01007020118844069,0.10035039206919268,14.236160040693669
6973,relu_13_19_11,0.08156625668515848,0.010090266183677426,0.1004503169914233,14.789208889627417
9172,relu_16_19_23,0.08945987198395948,0.010182706378759974,0.10090939688036975,16.89838562601615
461,relu_4_21_6,0.08855165593883091,0.010507180381442167,0.10250453834558823,16.360181031809816
2478,relu_7_14_25,0.09421538220819586,0.01053049879270391,0.10261821861981385,17.29330542989402
724,relu_4_30_26,0.08510033528318094,0.010537922104193319,0.10265438180707787,17.12183730585966
18872,relu_29_27_30,0.08903247356722838,0.010558624643805282,0.10275516845300427,16.15008076953646
17098,relu_27_16_11,0.08948084930308026,0.010583098590238309,0.10287418816320404,17.544247696615557
5441,relu_11_16_18,0.08628579861317105,0.010636554310433192,0.10313367204959394,15.704457100408767
7646,relu_14_17_9,0.08439876543459052,0.010641913854383149,0.10315965225989834,15.196031116898464
6488,relu_12_28_12,0.08693173104435922,0.01064363591281549,0.10316799849185546,15.799739932747022
4928,relu_10_24_18,0.08276799560166785,0.010668708189907354,0.10328943890789297,16.680300709128034
