,neuron,mae,mse,rmse,Perror
6116,relu_12_14_18,0.04411242506751746,0.0034262670078490636,0.05853432333126491,9.91374339585481
5820,relu_11_30_19,0.05625928510251264,0.00468372679397635,0.06843775853997813,13.81697906361921
7056,relu_13_22_13,0.058203867131370816,0.00484092201221318,0.06957673470502321,13.866070803643547
9338,relu_16_25_27,0.05936821223064588,0.005357774250588326,0.07319681858242423,12.886525460624933
2868,relu_7_29_10,0.051823488642115396,0.005601632378833481,0.07484405373063034,11.106861967477347
4310,relu_9_28_21,0.06047508868049482,0.0057795496017388455,0.07602334905631852,14.189019837175994
8602,relu_15_25_20,0.06204121199828209,0.005806931802785792,0.07620322698407064,14.29924507726872
8525,relu_15_22_24,0.0635671145848434,0.005836442223651476,0.07639661133618085,14.052424096197024
4070,relu_9_19_24,0.05997273091664556,0.005846982438124305,0.07646556374031584,14.017311269639883
7685,relu_14_18_21,0.06228070235660826,0.00591246913492212,0.07689258179383834,14.660403082596412
8744,relu_15_30_27,0.06265392899631067,0.005989868706211534,0.07739424207401695,14.229094034201164
10160,relu_17_29_12,0.06285664634811418,0.006112426633104858,0.07818200965122896,13.230541634050269
9305,relu_16_24_21,0.06413655628352638,0.006122827713307887,0.07824849975116384,14.486083565368936
2370,relu_7_10_25,0.06251420563573291,0.006157867529471914,0.07847208121027449,13.079007953001632
4827,relu_10_20_25,0.06157086609746755,0.006230514782048434,0.07893360996463061,14.541051526140855
10903,relu_18_29_26,0.06456175567997492,0.0062814653600582315,0.07925569607326802,14.934538166113985
11132,relu_19_11_12,0.06199568103335337,0.00630679461447926,0.07941532984556106,12.803856691699057
5546,relu_11_20_15,0.06130936351250278,0.006415512360934656,0.08009689357855682,14.118548560626861
8713,relu_15_29_23,0.06691669186405792,0.006435245792049396,0.0802199837450083,14.493660259699844
6200,relu_12_17_21,0.06506295471251099,0.0064419363718570665,0.08026167436489888,16.141467927018535
9366,relu_16_26_28,0.06282145005607252,0.006446631067547309,0.08029091522424757,14.489070090253314
9473,relu_16_30_27,0.06378707917292188,0.006539070723822707,0.08086452079758283,13.59469444621359
10775,relu_18_25_6,0.06212786230325125,0.006543212268133698,0.08089012466385312,13.236125982913284
9406,relu_16_28_14,0.05964122082934172,0.00654753814127417,0.08091685943778447,13.849738461905263
3526,relu_8_26_20,0.06525660350535852,0.006597901302608313,0.08122746642982479,12.658137000785866
10601,relu_18_18_21,0.06225510026592748,0.0066448651779449355,0.08151604245757356,13.233264516563956
2758,relu_7_25_8,0.06405531987236962,0.006662449262082411,0.0816238277838182,13.812853188489678
4778,relu_10_18_30,0.0641591811153932,0.006740674991808376,0.08210161381975617,13.704824697290668
10901,relu_18_29_24,0.06238256811702901,0.0067656040398254335,0.08225329196953417,14.82142103590524
