,neuron,mae,mse,rmse,Perror
4907,relu_10_23_24,0.04230475421245397,0.002081585932793969,0.045624400629421635,4.75675746427472
2160,relu_6_30_4,0.04243876321895526,0.002124928716461776,0.04609694910145113,4.980171865438545
9895,relu_17_19_17,0.0488398550329964,0.0028517732380210293,0.05340199657335884,6.0245897488215165
10006,relu_17_23_20,0.04394137971214876,0.0028811309864356974,0.053676167769650784,5.76295346509795
18512,relu_29_14_21,0.05126220099739656,0.00294729632259553,0.054289007382669376,5.980568398035468
3213,relu_8_15_4,0.040374161468611974,0.0031988151876600956,0.05655806916488659,5.508436732880445
18931,relu_29_30_8,0.04901123328788684,0.003237608996694679,0.0568999911836081,6.3980313599572805
4646,relu_10_14_6,0.05546999089531526,0.0033265315036739,0.05767609126556601,6.728806493558534
6852,relu_13_14_25,0.05097377582176135,0.0033332412720799977,0.05773422963961672,5.768728974102347
18924,relu_29_29_28,0.05425027124695406,0.0034752579760955324,0.058951318696832664,5.98185679866641
3123,relu_8_11_22,0.049461097643896196,0.0034799604697358564,0.058991189763691464,6.190972495835927
6169,relu_12_16_17,0.05368064455799684,0.00352216426346859,0.05934782442068614,6.052402886624987
4978,relu_10_26_14,0.05546835176758394,0.0035472611195759883,0.05955888783024737,6.538435551235041
15958,relu_25_28_5,0.05200074724964723,0.0036262736027853626,0.06021854866056938,6.308940903027587
2519,relu_7_16_12,0.051156952932432304,0.0036651002803910876,0.06054007169132762,6.617804803224781
3576,relu_8_28_16,0.05498275272659883,0.0036717828393845837,0.06059523776159793,6.689233276838068
3181,relu_8_13_26,0.057018072531744096,0.0036821365178355534,0.06068061072398294,6.641902281005194
19502,relu_30_24_12,0.047373072968589086,0.003865061542892092,0.06216961913098786,6.446507290739889
9675,relu_17_11_13,0.05460149331672595,0.0038714725368499637,0.06222115827313056,5.961947282620149
7049,relu_13_22_6,0.04980577694045188,0.0038994276698897305,0.06244539750766049,6.850830412306851
19544,relu_30_25_27,0.05558479114158557,0.003928237089499997,0.06267564989292092,6.572196372091557
15765,relu_25_20_28,0.05691604598148273,0.0039433349479827216,0.06279597875646753,7.169509267856966
15153,relu_24_25_10,0.05154700859172748,0.0039477762534396955,0.06283133178152199,6.905088997559185
14196,relu_23_16_25,0.05367458148582385,0.003972037753372154,0.06302410454240627,7.197955456114294
14507,relu_23_28_12,0.05744068436436281,0.004109385317127067,0.06410448749601752,7.386888037332518
4078,relu_9_20_5,0.05123581274135516,0.004117543553085772,0.06416808827669539,7.381011955508337
9568,relu_17_7_14,0.05752678497417377,0.004346722006164153,0.06592967470088225,6.323307942662101
10307,relu_18_7_24,0.061719865725561235,0.004358396875839717,0.06601815565312104,7.346688170040452
