,neuron,mae,mse,rmse,Perror
3764,relu_9_8_15,0.06623508151314664,0.006745633826551075,0.08213180764205226,11.216165016193782
12787,relu_21_18_20,0.06344184369424646,0.006752366300584964,0.08217278321065292,10.23589638177644
1533,relu_6_6_25,0.06771095232039218,0.006865303618453829,0.08285712774682591,10.990991287756454
4273,relu_9_27_11,0.06073838234811549,0.006907517976201618,0.08311147920835976,9.768600295191014
5737,relu_11_27_17,0.06896402076750521,0.00691719961372363,0.08316970370106912,11.779580512615194
7181,relu_13_26_30,0.06077748254517382,0.0069559476343431705,0.08340232391452393,9.332507054148554
10010,relu_17_23_24,0.06744634867578272,0.007107112269812496,0.08430369072473931,11.567504602535948
1175,relu_5_20_18,0.06496651933173006,0.007211145481510167,0.0849184637255654,10.218553892084728
1757,relu_6_15_6,0.05350487069159274,0.007216763586233398,0.08495153669141835,6.683868456386989
6881,relu_13_15_27,0.06653671846657519,0.007243645432785568,0.08510960834585933,11.051781018909619
12102,relu_20_20_10,0.06446612716296976,0.0072562967957200825,0.08518389986212231,11.135091143446653
1210,relu_5_21_26,0.0632940423517406,0.0072596106999717955,0.0852033491124134,8.811859388545212
4129,relu_9_21_29,0.06305397064357524,0.007294013649175572,0.08540499779975158,10.300215173475058
7599,relu_14_15_16,0.061956892374920636,0.0073328045818981434,0.08563179655886091,9.78913935518585
8441,relu_15_19_21,0.06619663626531427,0.007396745021265369,0.08600433140990847,10.58331154180447
8444,relu_15_19_24,0.06365659158082951,0.00746673848892268,0.0864102915683235,10.337271339222811
3778,relu_9_8_29,0.06836424883149075,0.007631150725543713,0.08735645783537536,11.561603767988508
17781,relu_28_14_19,0.06626847103813951,0.007632975115879783,0.08736689942924485,10.797204559732744
4019,relu_9_17_27,0.0754621042397571,0.007640828966746841,0.08741183539285079,12.603761593305274
14542,relu_23_29_20,0.07066269681433504,0.007732388235562662,0.08793399931518332,12.220591453788535
9271,relu_16_23_14,0.05887210590467892,0.0077862889413051785,0.08823995093666574,8.607479481374462
13454,relu_22_16_12,0.06791317970424418,0.007841787223353488,0.08855386622476451,12.006448029922858
17052,relu_27_14_19,0.06666414947181468,0.0078489096840217,0.08859407251064656,11.086896005323498
17959,relu_28_21_8,0.05688021422008341,0.007872380784062636,0.08872643790924234,8.295445018634881
1934,relu_6_21_21,0.07015286520987277,0.007878874736300834,0.08876302572750004,12.246450007421192
16392,relu_26_17_7,0.07071005819356349,0.007884220423144699,0.08879313274766636,11.105939341879377
4361,relu_9_30_18,0.0691917067852569,0.007908461698369635,0.08892953220595302,11.570471846062095
8434,relu_15_19_14,0.060838085567749195,0.00792903400234061,0.08904512340572397,8.532521106510947
14632,relu_24_5_29,0.07144163311391596,0.007958948333677537,0.08921293815180362,12.327043299954791
10005,relu_17_23_19,0.06697435767034357,0.007962745794038637,0.08923421873944232,11.512821242300724
12863,relu_21_21_15,0.07626128704219584,0.007996444025289207,0.08942283838756857,11.833459920654974
5372,relu_11_13_30,0.07265962795286898,0.00799763726518996,0.08942951003550204,11.623772087183209
