norm_con,norm_vol,norm_dis,norm_feed,OD
1.5,1,2.33333333333333,2.83333333333334,0.729166666666667
1.5,1,3.33333333333333,2.83333333333334,0.8
1.5,1,2.33333333333333,3.83333333333334,0.904166666666667
1.5,1,3.33333333333333,3.83333333333334,0.8875
1.5,1.5,2.83333333333333,3.33333333333334,0.808333333333333
1.5,2,2.33333333333333,2.83333333333334,0.725
1.5,2,3.33333333333333,2.83333333333334,0.8375
1.5,2,2.33333333333333,3.83333333333334,0.908333333333333
1.5,2,3.33333333333333,3.83333333333334,1.02083333333333
2,1,2.83333333333333,3.33333333333334,1.07916666666667
2,1.5,2.83333333333333,2.83333333333334,1.30416666666667
2,1.5,2.33333333333333,3.33333333333334,1.23333333333333
2,1.5,2.83333333333333,3.33333333333334,1.22916666666667
2,1.5,2.83333333333333,3.33333333333334,1.1375
2,1.5,3.33333333333333,3.33333333333334,1.225
2,1.5,2.83333333333333,3.83333333333334,1.2625
2,2,2.83333333333333,3.33333333333334,1.13333333333333
2.5,1,2.33333333333333,2.83333333333334,1.375
2.5,1,3.33333333333333,2.83333333333334,1.52083333333333
2.5,1,2.33333333333333,3.83333333333334,1.575
2.5,1,3.33333333333333,3.83333333333334,1.725
2.5,1.5,2.83333333333333,3.33333333333334,1.725
2.5,2,2.33333333333333,2.83333333333334,1.24166666666667
2.5,2,3.33333333333333,2.83333333333334,1.49583333333333
2.5,2,2.33333333333333,3.83333333333334,1.44583333333333
