norm_con,norm_vol,norm_dis,norm_feed,OD
1,2.75,0.75,0.5,0.398550724637681
1.5,2.25,0.75,0.5,0.727053140096618
1,2.25,1.25,0.5,0.323671497584541
1.5,2.75,1.25,0.5,0.756038647342995
1,2.25,0.75,0.5,0.471014492753623
1.5,2.75,0.75,0.5,0.871980676328502
1,2.75,1.25,0.5,0.514492753623188
1.5,2.25,1.25,0.5,0.835748792270531
1,2.25,0.75,1,0.579710144927536
1.5,2.75,0.75,1,0.98792270531401
1,2.75,1.25,1,0.625603864734299
1.5,2.25,1.25,1,0.92512077294686
1,2.75,0.75,1,0.763285024154589
1.5,2.25,0.75,1,1.02415458937198
1,2.25,1.25,1,0.661835748792271
1.5,2.75,1.25,1,1.08937198067633
1.25,2.5,1,0.75,0.734299516908213
1.25,2.5,1,0.75,0.727053140096618
0.75,2.5,1,0.75,0.263285024154589
1.75,2.5,1,0.75,0.995169082125604
1.25,2.5,0.5,0.75,0.613526570048309
1.25,2.5,1.5,0.75,0.596618357487923
1.25,2.5,1,0.75,1.26328502415459
1.25,2.5,1,0.75,1.04830917874396
1.25,2.5,1,0.25,0.388888888888889
1.25,2.5,1,1.25,0.855072463768116
1.25,2,1,0.75,0.623188405797101
1.25,3,1,0.75,1.02173913043478
1.25,2.5,1,0.75,0.72463768115942
1.25,2.5,1,0.75,0.714975845410628
0.8845,2.25,1,0.375,0.263285024154589
0.9905,2.5,1,0.625,0.478260869565217
1.2445,2.5,1,0.75,0.722222222222222
1.602,2.75,1,0.625,0.915458937198068
1.6025,2.25,1,1.25,1.14009661835749
0.9355,2.25,1,1.25,0.702898550724638
1.2445,2.25,1,0.75,0.722222222222222
0.7965,2.25,1,1.25,0.751207729468599
