norm_con,norm_vol,norm_dis,norm_feed,OD
2.25,3,3,1,0.705705705705706
2.75,4,2.5,1,1.23723723723724
2.75,3.5,3,1,1.12312312312312
2.75,3.5,3,1,1.16816816816817
2.75,3.5,3,1,1.08708708708709
2.25,4,3,1,0.603603603603604
2.75,3,3.5,1,1.07807807807808
2.25,3.5,3.5,1,0.642642642642643
2.25,3.5,2.5,1,0.657657657657658
3.25,3,3,1,1.37237237237237
3.25,3.5,3.5,1,1.54954954954955
3.25,4,3,1,1.6036036036036
2.75,3,2.5,1,1.0960960960961
2.75,4,3.5,1,1.28828828828829
2.75,3.5,3,1,1.14414414414414
3.25,3.5,2.5,1,1.50750750750751
2.75,3.5,3,1,1.15915915915916
